"site","time_scale","drought_type","lat","lon","trend_type","p_value","z","method","n","note","s","var_s","tau","alternative","trend_likelihood","period_start","period_end","region"
"Tauranga (Bay of Plenty)","6","Agricultural drought",-37.673,176.196,"Duration",0.6075770255085682,-0.273009453115974,"Mann-Kendall",16,NA,-7,483,-0.06065211190617091,"greater","Indeterminate",1972,2022,"Bay of Plenty"
"Timaru (Canterbury)","12","Hydrological drought",-44.30517,171.22141,"Duration",0.18361619402031354,0.9016696346674322,"Mann-Kendall",10,NA,11,123,0.2500645911391736,"greater","Likely increasing",1972,2022,"Canterbury"
"Timaru (Canterbury)","3","Meteorological drought",-44.30517,171.22141,"Duration",0.6483139823515984,-0.3807725422127398,"Mann-Kendall",25,NA,-17,1765.6666666666667,-0.060521602633256864,"greater","Indeterminate",1972,2022,"Canterbury"
"Timaru (Canterbury)","6","Agricultural drought",-44.30517,171.22141,"Duration",0.46693611406035074,0.08297398136450224,"Mann-Kendall",17,NA,3,581,0.022649412708342608,"greater","Indeterminate",1972,2022,"Canterbury"
"Waiouru (Manawatū-Whanganui)","12","Hydrological drought",-39.46249,175.66283,"Duration",0.3652402576199007,0.344486409130969,"Mann-Kendall",12,NA,6,210.66666666666666,0.09231861823449955,"greater","Indeterminate",1972,2022,"Manawatū-Whanganui"
"Waiouru (Manawatū-Whanganui)","3","Meteorological drought",-39.46249,175.66283,"Duration",0.5587337326728918,-0.14775954824320167,"Mann-Kendall",32,NA,-10,3710,-0.02135738256677617,"greater","Indeterminate",1972,2022,"Manawatū-Whanganui"
"Waiouru (Manawatū-Whanganui)","6","Agricultural drought",-39.46249,175.66283,"Duration",0.3102503683570854,0.49514079821604995,"Mann-Kendall",18,NA,14,689.3333333333334,0.09367115868876504,"greater","Likely increasing",1972,2022,"Manawatū-Whanganui"
"Wellington (Wellington)","12","Hydrological drought",-41.285,174.768,"Duration",0.5,-0,"Mann-Kendall",12,NA,-1,209.66666666666666,-0.015508070173307846,"greater","Indeterminate",1972,2022,"Wellington"
"Wellington (Wellington)","3","Meteorological drought",-41.285,174.768,"Duration",0.5653732333389146,-0.16460673048980518,"Mann-Kendall",20,NA,-6,922.6666666666666,-0.033190227285610774,"greater","Indeterminate",1972,2022,"Wellington"
"Wellington (Wellington)","6","Agricultural drought",-41.285,174.768,"Duration",0.5991115867749668,-0.2510482226267169,"Mann-Kendall",15,NA,-6,396.6666666666667,-0.059761430466719695,"greater","Indeterminate",1972,2022,"Wellington"
"Whanganui (Manawatū-Whanganui)","12","Hydrological drought",-39.93704,175.04509,"Duration",0.6862904468169502,-0.48536267169707553,"Mann-Kendall",12,NA,-8,208,-0.12506107989614448,"greater","Likely decreasing",1972,2022,"Manawatū-Whanganui"
"Whanganui (Manawatū-Whanganui)","3","Meteorological drought",-39.93704,175.04509,"Duration",0.7481116792831126,-0.6685593016115662,"Mann-Kendall",29,NA,-36,2740.6666666666665,-0.09469226067649478,"greater","Likely decreasing",1972,2022,"Manawatū-Whanganui"
"Whanganui (Manawatū-Whanganui)","6","Agricultural drought",-39.93704,175.04509,"Duration",0.46660959772024035,0.08379528678732848,"Mann-Kendall",17,NA,3,569.6666666666666,0.023195259991714116,"greater","Indeterminate",1972,2022,"Manawatū-Whanganui"
"Whangaparāoa (Auckland)","12","Hydrological drought",-36.606,174.835,"Duration",0.5,0,"Mann-Kendall",11,NA,1,163,0.018521694664415903,"greater","Indeterminate",1972,2022,"Auckland"
"Whangaparāoa (Auckland)","3","Meteorological drought",-36.606,174.835,"Duration",0.41295778920175813,0.219942959691286,"Mann-Kendall",23,NA,9,1323,0.03951894283460617,"greater","Indeterminate",1972,2022,"Auckland"
"Whangaparāoa (Auckland)","6","Agricultural drought",-36.606,174.835,"Duration",0.3700557583997667,0.33170567269060824,"Mann-Kendall",17,NA,9,581.6666666666666,0.06794823812502783,"greater","Indeterminate",1972,2022,"Auckland"
"Whangārei (Northland)","12","Hydrological drought",-35.769,174.364,"Duration",0.26312192172956117,0.6337502222976297,"Mann-Kendall",10,NA,8,122,0.18401748249129443,"greater","Likely increasing",1972,2022,"Northland"
"Whangārei (Northland)","3","Meteorological drought",-35.769,174.364,"Duration",0.8978849623630333,-1.269591790297564,"Mann-Kendall",24,NA,-51,1551,-0.20025423249415325,"greater","Likely decreasing",1972,2022,"Northland"
"Whangārei (Northland)","6","Agricultural drought",-35.769,174.364,"Duration",0.6761327294571247,-0.45691166238495384,"Mann-Kendall",16,NA,-11,479,-0.09618089480761699,"greater","Likely decreasing",1972,2022,"Northland"
