Date(NZST),Sunshine(Hrs),Period(Hrs),Freq
20110411,3.8,24,D
20110412,5.9,24,D
20110413,0,24,D
20110414,0.7,24,D
20110415,1.9,24,D
20110416,1.6,24,D
20110417,1.4,24,D
20110418,8.6,24,D
20110419,5.9,24,D
20110420,6,24,D
20110421,7.7,24,D
20110422,1.4,24,D
20110423,2.7,24,D
20110424,0.6,24,D
20110425,1.7,24,D
20110426,9.3,24,D
20110427,6.5,24,D
20110428,9.2,24,D
20110429,9.2,24,D
20110430,8.9,24,D
20110501,2.3,24,D
20110502,0.3,24,D
20110503,3.8,24,D
20110504,0.2,24,D
20110505,0.6,24,D
20110506,2.4,24,D
20110507,0.3,24,D
20110508,0.5,24,D
20110509,3.2,24,D
20110510,6.9,24,D
20110511,1,24,D
20110512,1.7,24,D
20110513,1.1,24,D
20110514,2.3,24,D
20110515,0.6,24,D
20110516,0.1,24,D
20110517,1,24,D
20110518,7.7,24,D
20110519,0.3,24,D
20110520,0.5,24,D
20110521,5.7,24,D
20110522,1.6,24,D
20110523,0.4,24,D
20110524,1,24,D
20110525,0,24,D
20110526,1.7,24,D
20110527,2.7,24,D
20110528,2.5,24,D
20110529,0.2,24,D
20110530,0.6,24,D
20110531,3.3,24,D
20110601,5.5,24,D
20110602,2.5,24,D
20110603,1,24,D
20110604,0,24,D
20110605,0.7,24,D
20110606,2,24,D
20110607,0,24,D
20110608,3,24,D
20110609,3.4,24,D
20110610,0.6,24,D
20110611,0,24,D
20110612,3,24,D
20110613,0.5,24,D
20110614,3.5,24,D
20110615,0.5,24,D
20110616,3.7,24,D
20110617,0.6,24,D
20110618,0,24,D
20110619,2.3,24,D
20110620,3.8,24,D
20110621,2.3,24,D
20110622,1.6,24,D
20110623,0,24,D
20110624,0.8,24,D
20110625,1.5,24,D
20110626,7.2,24,D
20110627,0.1,24,D
20110628,2.1,24,D
20110629,7.8,24,D
20110630,7.8,24,D
20110701,3.1,24,D
20110702,0,24,D
20110703,0,24,D
20110704,3.2,24,D
20110705,1,24,D
20110706,0.3,24,D
20110707,0,24,D
20110708,0,24,D
20110709,0.5,24,D
20110710,1.6,24,D
20110711,1.3,24,D
20110712,0.3,24,D
20110713,0.6,24,D
20110714,2.1,24,D
20110715,6.1,24,D
20110716,4,24,D
20110717,3.7,24,D
20110718,2.1,24,D
20110719,1.1,24,D
20110720,0,24,D
20110721,0,24,D
20110722,6.7,24,D
20110723,1.5,24,D
20110724,0.5,24,D
20110725,8.4,24,D
20110726,2.9,24,D
20110727,3.8,24,D
20110728,0.1,24,D
20110729,0,24,D
20110730,8.1,24,D
20110731,4.2,24,D
20110801,2,24,D
20110802,2.6,24,D
20110803,5.3,24,D
20110804,0.1,24,D
20110805,6.3,24,D
20110806,0,24,D
20110807,3.3,24,D
20110808,2.1,24,D
20110809,6.1,24,D
20110810,5.5,24,D
20110811,0,24,D
20110812,0.9,24,D
20110813,2.8,24,D
20110814,1.9,24,D
20110815,4,24,D
20110816,7.8,24,D
20110817,4.9,24,D
20110818,9.3,24,D
20110819,9.3,24,D
20110820,9.4,24,D
20110821,6.8,24,D
20110822,1.6,24,D
20110823,5.9,24,D
20110824,3.4,24,D
20110825,2.2,24,D
20110826,1.2,24,D
20110827,3.9,24,D
20110828,2.5,24,D
20110829,0,24,D
20110830,1.5,24,D
20110831,6.8,24,D
20110901,7.1,24,D
20110902,7.6,24,D
20110903,0.9,24,D
20110904,1.7,24,D
20110905,4.8,24,D
20110906,0.1,24,D
20110907,0.7,24,D
20110908,1.4,24,D
20110909,5,24,D
20110910,0.4,24,D
20110911,0.2,24,D
20110912,6,24,D
20110913,2,24,D
20110914,4.2,24,D
20110915,2.4,24,D
20110916,1.9,24,D
20110917,6.2,24,D
20110918,7.5,24,D
20110919,1.6,24,D
20110920,8.8,24,D
20110921,5,24,D
20110922,3.5,24,D
20110923,6.1,24,D
20110924,2,24,D
20110925,4.2,24,D
20110926,6,24,D
20110927,5.8,24,D
20110928,5.6,24,D
20110929,8.6,24,D
20110930,10.6,24,D
20111001,2,24,D
20111002,1.2,24,D
20111003,0.2,24,D
20111004,1.4,24,D
20111005,8.9,24,D
20111006,9.5,24,D
20111007,1.7,24,D
20111008,4.8,24,D
20111009,5.3,24,D
20111010,4.4,24,D
20111011,2.9,24,D
20111012,5.3,24,D
20111013,5.6,24,D
20111014,1.7,24,D
20111015,4.2,24,D
20111016,9.1,24,D
20111017,4.3,24,D
20111018,6.9,24,D
20111019,5.1,24,D
20111020,7.1,24,D
20111021,4.3,24,D
20111022,3.8,24,D
20111023,10.2,24,D
20111024,3.9,24,D
20111025,2.1,24,D
20111026,4.2,24,D
20111027,6.5,24,D
20111028,9.6,24,D
20111029,3.3,24,D
20111030,6.2,24,D
20111031,3.5,24,D
20111101,0,24,D
20111102,0.8,24,D
20111103,2.5,24,D
20111104,3.6,24,D
20111105,4.1,24,D
20111106,5,24,D
20111107,6.1,24,D
20111108,1.1,24,D
20111109,0.2,24,D
20111110,12.8,24,D
20111111,7.6,24,D
20111112,2.3,24,D
20111113,6.6,24,D
20111114,5.8,24,D
20111115,3.5,24,D
20111116,11.2,24,D
20111117,9.5,24,D
20111118,4.8,24,D
20111119,7.9,24,D
20111120,0,24,D
20111121,1.1,24,D
20111122,8.5,24,D
20111123,0,24,D
20111124,5.8,24,D
20111125,5.7,24,D
20111126,7.5,24,D
20111127,8.7,24,D
20111128,0.7,24,D
20111129,8.5,24,D
20111130,13.2,24,D
20111201,8.3,24,D
20111202,7.3,24,D
20111203,6.8,24,D
20111204,1,24,D
20111205,5.4,24,D
20111206,0.5,24,D
20111207,3.3,24,D
20111208,9,24,D
20111209,11.2,24,D
20111210,6.3,24,D
20111211,10.5,24,D
20111212,0.5,24,D
20111213,10.7,24,D
20111214,0,24,D
20111215,0,24,D
20111216,1.6,24,D
20111217,13.5,24,D
20111218,11,24,D
