Station,Date(NZST)_Incl_secs,Amount(mm),Period(min),Freq
3925,20090222:115106,0.27,3.5,BPS
3925,20090222:120006,0.43,9,BPS
3925,20090222:124036,0,40.5,BPS
3925,20090222:124524,0.11,4.8,BPS
3925,20090222:130442,0,19.3,BPS
3925,20090222:131000,0.17,5.3,BPS
3925,20090222:131248,0.05,2.8,BPS
3925,20090222:133636,0,23.8,BPS
3925,20090222:134006,0.21,3.5,BPS
3925,20090222:134236,0.05,2.5,BPS
3925,20090222:141436,0,32,BPS
3925,20090222:141636,0.09,2,BPS
3925,20090222:142112,0,4.6,BPS
3925,20090222:142830,0.44,7.3,BPS
3925,20090222:143106,0.06,2.6,BPS
3925,20090222:145012,0,19.1,BPS
3925,20090222:145224,0.16,2.2,BPS
3925,20090222:145312,0.02,0.8,BPS
3925,20090222:151148,0,18.6,BPS
3925,20090222:151818,0.24,6.5,BPS
3925,20090222:152036,0.03,2.3,BPS
3925,20090222:153300,0,12.4,BPS
3925,20090222:154006,0.08,7.1,BPS
3925,20090222:161212,0,32.1,BPS
3925,20090222:162006,0.67,7.9,BPS
3925,20090222:162424,0.28,4.3,BPS
3925,20090222:163412,0.12,9.8,BPS
3925,20090222:164454,0,10.7,BPS
3925,20090222:165624,0.31,11.5,BPS
3925,20090222:170012,0.06,3.8,BPS
3925,20090222:171830,0,18.3,BPS
3925,20090222:172112,0.33,2.7,BPS
3925,20090222:172224,0.07,1.2,BPS
3925,20090222:173006,0.19,7.7,BPS
3925,20090222:180742,0,37.6,BPS
3925,20090222:181606,0.43,8.4,BPS
3925,20090222:182142,0.54,5.6,BPS
3925,20090222:182800,0.73,6.3,BPS
3925,20090222:183012,0.06,2.2,BPS
3925,20090222:183942,0.04,9.5,BPS
3925,20090222:191306,0,33.4,BPS
3925,20090222:192048,0.27,7.7,BPS
3925,20090222:192318,0.21,2.5,BPS
3925,20090222:192618,0.17,3,BPS
3925,20090222:192924,0.05,3.1,BPS
3925,20090222:203624,0,67,BPS
3925,20090222:205742,0.12,21.3,BPS
3925,20090222:213424,0,36.7,BPS
3925,20090222:213748,0.09,3.4,BPS
3925,20090222:214454,0.25,7.1,BPS
3925,20090222:215524,0,10.5,BPS
3925,20090222:215912,0.27,3.8,BPS
3925,20090222:220648,0.38,7.6,BPS
3925,20090222:221300,0.15,6.2,BPS
3925,20090222:222624,0.05,13.4,BPS
3925,20090222:232754,0,61.5,BPS
3925,20090222:233230,0.11,4.6,BPS
3925,20090222:233612,0.23,3.7,BPS
3925,20090222:234300,0.29,6.8,BPS
3925,20090222:234748,0.11,4.8,BPS
3925,20090223:000118,0.07,13.5,BPS
3925,20090223:003624,0,35.1,BPS
3925,20090223:004554,0.1,9.5,BPS
