,Date(NZST),Amount(mm),Deficit(mm),Runoff(mm),Period(Hrs),Freq
272,20090930:0800,2.2,0.0,0.5,24,0.0
273,20091001:0800,0.6,1.1,0.0,24,0.0
274,20091002:0800,4.0,0.0,0.5,24,0.0
275,20091003:0800,21.8,0.0,19.4,24,0.0
276,20091004:0800,6.4,0.0,4.0,24,0.0
277,20091005:0800,0.0,2.4,0.0,24,0.0
278,20091006:0800,0.0,4.9,0.0,24,0.0
279,20091007:0800,0.0,7.3,0.0,24,0.0
280,20091008:0800,0.0,9.8,0.0,24,0.0
281,20091009:0800,29.0,0.0,16.8,24,0.0
282,20091010:0800,9.2,0.0,6.8,24,0.0
283,20091011:0800,0.0,2.4,0.0,24,0.0
284,20091012:0800,0.0,4.9,0.0,24,0.0
285,20091013:0800,0.0,7.3,0.0,24,0.0
286,20091014:0800,0.0,9.8,0.0,24,0.0
287,20091015:0800,17.2,0.0,5.0,24,0.0
288,20091016:0800,4.2,0.0,1.8,24,0.0
289,20091017:0800,6.4,0.0,4.0,24,0.0
290,20091018:0800,7.4,0.0,5.0,24,0.0
291,20091019:0800,2.2,0.2,0.0,24,0.0
292,20091020:0800,5.4,0.0,2.7,24,0.0
293,20091021:0800,0.0,2.4,0.0,24,0.0
294,20091022:0800,7.2,0.0,2.3,24,0.0
295,20091023:0800,0.0,2.4,0.0,24,0.0
296,20091024:0800,0.0,4.9,0.0,24,0.0
297,20091025:0800,0.2,7.1,0.0,24,0.0
298,20091026:0800,0.0,9.6,0.0,24,0.0
299,20091027:0800,6.6,5.4,0.0,24,0.0
300,20091028:0800,0.0,7.8,0.0,24,0.0
301,20091029:0800,9.6,0.7,0.0,24,0.0
302,20091030:0800,0.0,3.1,0.0,24,0.0
303,20091031:0800,0.0,5.5,0.0,24,0.0
304,20091101:0800,0.0,8.0,0.0,24,0.0
305,20091102:0800,0.0,11.1,0.0,24,0.0
306,20091103:0800,0.0,14.2,0.0,24,0.0
307,20091104:0800,0.0,17.3,0.0,24,0.0
308,20091105:0800,5.4,15.0,0.0,24,0.0
309,20091106:0800,1.0,17.1,0.0,24,0.0
310,20091107:0800,0.0,20.1,0.0,24,0.0
311,20091108:0800,0.0,23.2,0.0,24,0.0
312,20091109:0800,0.0,26.3,0.0,24,0.0
313,20091110:0800,0.0,29.4,0.0,24,0.0
314,20091111:0800,0.0,32.5,0.0,24,0.0
315,20091112:0800,2.2,33.4,0.0,24,0.0
316,20091113:0800,1.0,35.5,0.0,24,0.0
317,20091114:0800,0.6,38.0,0.0,24,0.0
318,20091115:0800,0.4,40.7,0.0,24,0.0
319,20091116:0800,13.0,30.8,0.0,24,0.0
320,20091117:0800,4.8,29.1,0.0,24,0.0
321,20091118:0800,0.0,32.2,0.0,24,0.0
322,20091119:0800,0.0,35.3,0.0,24,0.0
323,20091120:0800,0.0,38.4,0.0,24,0.0
324,20091121:0800,0.0,41.5,0.0,24,0.0
325,20091122:0800,2.6,41.9,0.0,24,0.0
326,20091123:0800,0.0,45.0,0.0,24,0.0
327,20091124:0800,0.0,48.1,0.0,24,0.0
328,20091125:0800,0.0,51.2,0.0,24,0.0
329,20091126:0800,0.2,54.1,0.0,24,0.0
330,20091127:0800,0.0,57.2,0.0,24,0.0
331,20091128:0800,19.4,40.9,0.0,24,0.0
332,20091129:0800,0.0,44.0,0.0,24,0.0
333,20091130:0800,2.2,44.9,0.0,24,0.0
334,20091201:0800,16.0,32.0,0.0,24,0.0
335,20091202:0800,27.2,8.4,0.0,24,0.0
336,20091203:0800,45.4,0.0,33.5,24,0.0
337,20091204:0800,0.0,3.6,0.0,24,0.0
338,20091205:0800,0.0,7.1,0.0,24,0.0
339,20091206:0800,11.0,0.0,0.3,24,0.0
340,20091207:0800,6.2,0.0,2.6,24,0.0
341,20091208:0800,0.0,3.6,0.0,24,0.0
342,20091209:0800,0.0,7.1,0.0,24,0.0
343,20091210:0800,10.8,0.0,0.1,24,0.0
344,20091211:0800,7.6,0.0,4.0,24,0.0
345,20091212:0800,26.8,0.0,23.2,24,0.0
346,20091213:0800,11.4,0.0,7.8,24,0.0
347,20091214:0800,14.4,0.0,10.8,24,0.0
348,20091215:0800,2.0,1.6,0.0,24,0.0
349,20091216:0800,2.8,2.3,0.0,24,0.0
350,20091217:0800,1.2,4.7,0.0,24,0.0
351,20091218:0800,0.0,8.3,0.0,24,0.0
352,20091219:0800,4.2,7.6,0.0,24,0.0
353,20091220:0800,4.6,6.6,0.0,24,0.0
354,20091221:0800,0.6,9.6,0.0,24,0.0
355,20091222:0800,0.0,13.1,0.0,24,0.0
356,20091223:0800,0.0,16.7,0.0,24,0.0
357,20091224:0800,0.0,20.2,0.0,24,0.0
358,20091225:0800,0.0,23.8,0.0,24,0.0
359,20091226:0800,0.0,27.4,0.0,24,0.0
360,20091227:0800,20.6,10.3,0.0,24,0.0
361,20091228:0800,7.8,6.1,0.0,24,0.0
362,20091229:0800,19.0,0.0,9.3,24,0.0
363,20091230:0800,0.8,2.8,0.0,24,0.0
364,20091231:0800,1.4,4.9,0.0,24,0.0
365,20100101:0800,0.0,8.5,0.0,24,0.0
366,20100102:0800,13.2,0.0,0.7,24,0.0
367,20100103:0800,16.2,0.0,12.2,24,0.0
368,20100104:0800,27.0,0.0,23.0,24,0.0
369,20100105:0800,3.0,1.0,0.0,24,0.0
370,20100106:0800,0.0,5.0,0.0,24,0.0
371,20100107:0800,0.0,8.9,0.0,24,0.0
372,20100108:0800,17.6,0.0,4.7,24,0.0
373,20100109:0800,0.2,3.8,0.0,24,0.0
374,20100110:0800,4.6,3.2,0.0,24,0.0
375,20100111:0800,30.2,0.0,23.1,24,0.0
376,20100112:0800,0.2,3.8,0.0,24,0.0
377,20100113:0800,0.0,7.8,0.0,24,0.0
378,20100114:0800,0.0,11.7,0.0,24,0.0
379,20100115:0800,0.0,15.7,0.0,24,0.0
380,20100116:0800,0.0,19.7,0.0,24,0.0
381,20100117:0800,0.0,23.7,0.0,24,0.0
382,20100118:0800,8.8,18.9,0.0,24,0.0
383,20100119:0800,0.4,22.4,0.0,24,0.0
384,20100120:0800,0.0,26.4,0.0,24,0.0
385,20100121:0800,31.6,0.0,1.2,24,0.0
386,20100122:0800,3.2,0.8,0.0,24,0.0
387,20100123:0800,0.0,4.8,0.0,24,0.0
388,20100124:0800,0.0,8.7,0.0,24,0.0
389,20100125:0800,0.0,12.7,0.0,24,0.0
390,20100126:0800,0.0,16.7,0.0,24,0.0
391,20100127:0800,0.0,20.7,0.0,24,0.0
392,20100128:0800,0.0,24.7,0.0,24,0.0
393,20100129:0800,0.0,28.6,0.0,24,0.0
394,20100130:0800,4.6,28.0,0.0,24,0.0
395,20100131:0800,0.0,32.0,0.0,24,0.0
396,20100201:0800,0.0,36.0,0.0,24,0.0
397,20100202:0800,0.0,39.9,0.0,24,0.0
398,20100203:0800,0.0,43.7,0.0,24,0.0
399,20100204:0800,0.0,47.6,0.0,24,0.0
400,20100205:0800,0.0,51.5,0.0,24,0.0
401,20100206:0800,0.0,55.3,0.0,24,0.0
402,20100207:0800,0.0,59.2,0.0,24,0.0
403,20100208:0800,0.0,63.1,0.0,24,0.0
404,20100209:0800,0.0,66.9,0.0,24,0.0
405,20100210:0800,0.2,70.6,0.0,24,0.0
406,20100211:0800,23.4,51.1,0.0,24,0.0
407,20100212:0800,0.0,54.9,0.0,24,0.0
408,20100213:0800,33.8,25.0,0.0,24,0.0
409,20100214:0800,3.6,25.3,0.0,24,0.0
410,20100215:0800,0.0,29.1,0.0,24,0.0
411,20100216:0800,0.0,33.0,0.0,24,0.0
412,20100217:0800,0.0,36.9,0.0,24,0.0
413,20100218:0800,7.2,33.5,0.0,24,0.0
414,20100219:0800,2.2,35.2,0.0,24,0.0
415,20100220:0800,0.0,39.1,0.0,24,0.0
416,20100221:0800,0.0,42.9,0.0,24,0.0
417,20100222:0800,0.0,46.8,0.0,24,0.0
418,20100223:0800,0.0,50.7,0.0,24,0.0
419,20100224:0800,0.0,54.5,0.0,24,0.0
420,20100225:0800,10.4,48.0,0.0,24,0.0
421,20100226:0800,0.2,51.7,0.0,24,0.0
422,20100227:0800,0.0,55.6,0.0,24,0.0
423,20100228:0800,0.0,59.4,0.0,24,0.0
424,20100301:0800,0.0,63.3,0.0,24,0.0
425,20100302:0800,6.6,59.1,0.0,24,0.0
426,20100303:0800,1.0,60.4,0.0,24,0.0
427,20100304:0800,0.0,62.8,0.0,24,0.0
428,20100305:0800,0.0,65.2,0.0,24,0.0
429,20100306:0800,0.6,67.0,0.0,24,0.0
430,20100307:0800,0.0,69.4,0.0,24,0.0
431,20100308:0800,0.0,71.8,0.0,24,0.0
432,20100309:0800,0.0,74.1,0.0,24,0.0
433,20100310:0800,0.0,76.5,0.0,24,0.0
434,20100311:0800,0.0,78.8,0.0,24,0.0
435,20100312:0800,0.0,81.1,0.0,24,0.0
436,20100313:0800,1.2,82.1,0.0,24,0.0
437,20100314:0800,0.0,84.2,0.0,24,0.0
438,20100315:0800,0.0,86.3,0.0,24,0.0
439,20100316:0800,0.0,88.4,0.0,24,0.0
440,20100317:0800,19.0,71.3,0.0,24,0.0
441,20100318:0800,0.0,73.7,0.0,24,0.0
442,20100319:0800,0.2,75.9,0.0,24,0.0
443,20100320:0800,0.0,78.2,0.0,24,0.0
444,20100321:0800,0.2,80.3,0.0,24,0.0
445,20100322:0800,3.4,79.1,0.0,24,0.0
446,20100323:0800,14.8,66.6,0.0,24,0.0
447,20100324:0800,18.0,50.9,0.0,24,0.0
448,20100325:0800,27.0,26.3,0.0,24,0.0
449,20100326:0800,0.0,28.7,0.0,24,0.0
450,20100327:0800,0.2,30.9,0.0,24,0.0
451,20100328:0800,12.4,20.9,0.0,24,0.0
452,20100329:0800,0.0,23.2,0.0,24,0.0
453,20100330:0800,0.6,25.0,0.0,24,0.0
454,20100331:0800,0.0,27.4,0.0,24,0.0
455,20100401:0800,0.0,29.8,0.0,24,0.0
456,20100402:0800,0.0,31.0,0.0,24,0.0
457,20100403:0800,0.0,32.2,0.0,24,0.0
458,20100404:0900,0.0,33.5,0.0,24,0.0
459,20100405:0900,0.6,34.1,0.0,24,0.0
460,20100406:0900,0.0,35.3,0.0,24,0.0
461,20100407:0900,0.4,36.1,0.0,24,0.0
462,20100408:0900,0.0,37.4,0.0,24,0.0
463,20100409:0900,0.0,38.6,0.0,24,0.0
464,20100410:0900,0.0,39.8,0.0,24,0.0
465,20100411:0900,0.0,41.0,0.0,24,0.0
466,20100412:0900,0.0,42.2,0.0,24,0.0
467,20100413:0900,0.0,43.5,0.0,24,0.0
468,20100414:0900,28.8,15.9,0.0,24,0.0
469,20100415:0900,1.2,15.9,0.0,24,0.0
470,20100416:0900,3.4,13.7,0.0,24,0.0
471,20100417:0900,0.0,15.0,0.0,24,0.0
472,20100418:0900,0.4,15.8,0.0,24,0.0
473,20100419:0900,1.0,16.0,0.0,24,0.0
474,20100420:0900,0.2,17.0,0.0,24,0.0
475,20100421:0900,0.0,18.3,0.0,24,0.0
476,20100422:0900,0.0,19.5,0.0,24,0.0
477,20100423:0900,0.0,20.7,0.0,24,0.0
478,20100424:0900,0.0,21.9,0.0,24,0.0
479,20100425:0900,4.2,19.0,0.0,24,0.0
480,20100426:0900,4.6,15.6,0.0,24,0.0
481,20100427:0900,5.2,11.6,0.0,24,0.0
482,20100428:0900,31.6,0.0,18.8,24,0.0
483,20100429:0900,2.0,0.0,0.8,24,0.0
484,20100430:0900,19.6,0.0,18.4,24,0.0
485,20100501:0900,14.0,0.0,12.8,24,0.0
486,20100502:0900,0.0,0.6,0.0,24,0.0
487,20100503:0900,0.0,1.1,0.0,24,0.0
488,20100504:0900,1.0,0.7,0.0,24,0.0
489,20100505:0900,0.0,1.3,0.0,24,0.0
490,20100506:0900,0.0,1.9,0.0,24,0.0
491,20100507:0900,0.2,2.2,0.0,24,0.0
492,20100508:0900,0.8,2.0,0.0,24,0.0
493,20100509:0900,13.0,0.0,10.4,24,0.0
494,20100510:0900,0.0,0.6,0.0,24,0.0
495,20100511:0900,0.0,1.1,0.0,24,0.0
496,20100512:0900,0.0,1.7,0.0,24,0.0
497,20100513:0900,19.4,0.0,17.1,24,0.0
498,20100514:0900,1.4,0.0,0.8,24,0.0
499,20100515:0900,7.0,0.0,6.4,24,0.0
500,20100516:0900,4.0,0.0,3.4,24,0.0
501,20100517:0900,0.4,0.2,0.0,24,0.0
502,20100518:0900,0.0,0.7,0.0,24,0.0
503,20100519:0900,0.0,1.3,0.0,24,0.0
504,20100520:0900,0.0,1.9,0.0,24,0.0
505,20100521:0900,0.0,2.5,0.0,24,0.0
506,20100522:0900,0.0,3.0,0.0,24,0.0
507,20100523:0900,0.2,3.4,0.0,24,0.0
508,20100524:0900,4.2,0.0,0.2,24,0.0
509,20100525:0900,3.0,0.0,2.4,24,0.0
