"site","year","frost_days","first_frost_day","last_frost_day","lat","lon"
"Hamilton (Waikato)",1982,31,"1982-05-29","1982-09-17",-37.86088,175.33175
"Hokitika (West Coast)",1982,19,"1982-06-06","1982-07-23",-42.71228,170.98428
"Invercargill (Southland)",1982,47,"1982-04-09","1982-09-16",-46.41741,168.33052
"Kerikeri (Northland)",1982,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1982,113,"1982-04-09","1982-10-25",-44.002,170.441
"Masterton (Wellington)",1982,20,"1982-05-05","1982-09-29",-40.957,175.707
"Milford Sound (Southland)",1982,50,"1982-05-26","1982-10-05",-44.67384,167.92406
"Napier (Hawke's Bay)",1982,15,"1982-05-30","1982-09-03",-39.49846,176.91189
"Nelson (Nelson)",1982,26,"1982-06-07","1982-08-19",-41.299,173.226
"New Plymouth (Taranaki)",1982,3,"1982-07-11","1982-08-19",-39.0079,174.18382
"Queenstown (Otago)",1982,85,"1982-04-09","1982-10-20",-45.01758,168.74005
"Reefton (West Coast)",1982,57,"1982-04-11","1982-10-19",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1982,28,"1982-05-29","1982-09-04",-38.10595,176.31485
"Tara Hills (Canterbury)",1982,141,"1982-01-20","1982-12-27",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1982,66,"1982-04-12","1982-10-21",-38.88784,175.25981
"Taupō (Waikato)",1982,54.00892857142857,"1982-02-07","1982-10-21",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1982,2,"1982-07-09","1982-08-19",-37.673,176.196
"Timaru (Canterbury)",1982,74,"1982-05-04","1982-10-21",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1982,74.00892857142857,"1982-02-07","1982-12-31",-39.46249,175.66283
"Wellington (Wellington)",1982,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1982,3,"1982-06-16","1982-07-07",-39.93704,175.04509
"Whangaparāoa (Auckland)",1982,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1982,2,"1982-07-11","1982-07-23",-35.769,174.364
"Auckland (Auckland)",1981,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1981,36,"1981-05-14","1981-09-17",-41.52133,173.86439
"Christchurch (Canterbury)",1981,46,"1981-04-28","1981-09-29",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1981,15,"1981-05-14","1981-10-30",-40.21,176.109
"Dunedin (Otago)",1981,0,NA,NA,-45.90129,170.5147
"Gisborne (Gisborne)",1981,1,NA,NA,-38.6586,177.9851
"Gore (Southland)",1981,48,"1981-05-20","1981-10-17",-46.115,168.887
"Hamilton (Waikato)",1981,18,"1981-05-14","1981-09-18",-37.86088,175.33175
"Hokitika (West Coast)",1981,18,"1981-06-11","1981-09-15",-42.71228,170.98428
"Invercargill (Southland)",1981,45,"1981-04-12","1981-11-08",-46.41741,168.33052
"Kerikeri (Northland)",1981,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1981,85,"1981-05-13","1981-10-28",-44.002,170.441
"Masterton (Wellington)",1981,9,"1981-05-14","1981-09-18",-40.957,175.707
"Milford Sound (Southland)",1981,51,"1981-05-24","1981-09-22",-44.67384,167.92406
"Napier (Hawke's Bay)",1981,4,"1981-06-26","1981-08-13",-39.49846,176.91189
"Nelson (Nelson)",1981,23,"1981-05-29","1981-09-06",-41.299,173.226
"New Plymouth (Taranaki)",1981,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1981,77,"1981-04-28","1981-11-18",-45.01758,168.74005
"Reefton (West Coast)",1981,51,"1981-05-07","1981-09-17",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1981,12,"1981-05-14","1981-08-30",-38.10595,176.31485
"Tara Hills (Canterbury)",1981,139,"1981-04-19","1981-11-18",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1981,42,"1981-05-14","1981-10-29",-38.88784,175.25981
"Taupō (Waikato)",1981,45,"1981-05-14","1981-10-30",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1981,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1981,48,"1981-05-16","1981-10-27",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1981,56,"1981-05-14","1981-11-05",-39.46249,175.66283
"Wellington (Wellington)",1981,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1981,2,"1981-07-22","1981-08-30",-39.93704,175.04509
"Whangaparāoa (Auckland)",1981,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1981,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1980,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1980,38,"1980-06-09","1980-11-10",-41.52133,173.86439
"Christchurch (Canterbury)",1980,64,"1980-05-01","1980-10-11",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1980,17,"1980-04-20","1980-10-14",-40.21,176.109
"Dunedin (Otago)",1980,7,"1980-06-19","1980-08-10",-45.90129,170.5147
"Gisborne (Gisborne)",1980,5,"1980-07-13","1980-07-31",-38.6586,177.9851
"Gore (Southland)",1980,37,"1980-04-19","1980-11-10",-46.115,168.887
"Hamilton (Waikato)",1980,21,"1980-05-30","1980-08-30",-37.86088,175.33175
"Hokitika (West Coast)",1980,17,"1980-06-14","1980-08-18",-42.71228,170.98428
"Invercargill (Southland)",1980,29,"1980-04-13","1980-11-10",-46.41741,168.33052
"Kerikeri (Northland)",1980,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1980,72,"1980-04-04","1980-11-10",-44.002,170.441
"Masterton (Wellington)",1980,15,"1980-06-27","1980-09-15",-40.957,175.707
"Milford Sound (Southland)",1980,35,"1980-06-14","1980-08-23",-44.67384,167.92406
"Napier (Hawke's Bay)",1980,15,"1980-06-10","1980-09-15",-39.49846,176.91189
"Nelson (Nelson)",1980,19,"1980-06-17","1980-08-19",-41.299,173.226
"New Plymouth (Taranaki)",1980,1,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1980,65,"1980-04-21","1980-09-09",-45.01758,168.74005
"Reefton (West Coast)",1980,45,"1980-04-21","1980-11-10",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1980,20,"1980-06-15","1980-08-19",-38.10595,176.31485
"Tara Hills (Canterbury)",1980,135.92241379310346,"1980-02-08","1980-12-09",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1980,39,"1980-05-09","1980-10-14",-38.88784,175.25981
"Taupō (Waikato)",1980,40,"1980-03-18","1980-11-17",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1980,2,"1980-07-19","1980-08-19",-37.673,176.196
"Timaru (Canterbury)",1980,64,"1980-03-18","1980-10-06",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1980,73,"1980-03-18","1980-12-12",-39.46249,175.66283
"Wellington (Wellington)",1980,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1980,2,"1980-06-19","1980-06-20",-39.93704,175.04509
"Whangaparāoa (Auckland)",1980,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1980,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1979,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1979,41,"1979-05-01","1979-09-27",-41.52133,173.86439
"Christchurch (Canterbury)",1979,52,"1979-04-15","1979-10-04",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1979,10,"1979-04-27","1979-08-17",-40.21,176.109
"Dunedin (Otago)",1979,2,"1979-05-23","1979-08-21",-45.90129,170.5147
"Gisborne (Gisborne)",1979,3,"1979-07-09","1979-08-11",-38.6586,177.9851
"Gore (Southland)",1979,43,"1979-04-27","1979-09-26",-46.115,168.887
"Hamilton (Waikato)",1979,14,"1979-05-19","1979-08-17",-37.86088,175.33175
"Hokitika (West Coast)",1979,11,"1979-05-18","1979-08-21",-42.71228,170.98428
"Invercargill (Southland)",1979,41,"1979-04-01","1979-10-03",-46.41741,168.33052
"Kerikeri (Northland)",1979,1,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1979,74,"1979-04-01","1979-12-08",-44.002,170.441
"Masterton (Wellington)",1979,10,"1979-05-31","1979-08-17",-40.957,175.707
"Milford Sound (Southland)",1979,27,"1979-05-22","1979-09-22",-44.67384,167.92406
"Napier (Hawke's Bay)",1979,13,"1979-05-30","1979-08-17",-39.49846,176.91189
"Nelson (Nelson)",1979,11,"1979-07-07","1979-08-22",-41.299,173.226
"New Plymouth (Taranaki)",1979,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1979,77,"1979-04-14","1979-12-08",-45.01758,168.74005
"Reefton (West Coast)",1979,42,"1979-05-16","1979-10-05",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1979,18,"1979-05-21","1979-08-17",-38.10595,176.31485
