"site","year","frost_days","first_frost_day","last_frost_day","lat","lon"
"Blenheim (Marlborough)",1988,42,"1988-04-30","1988-09-09",-41.52133,173.86439
"Christchurch (Canterbury)",1988,53,"1988-03-31","1988-09-09",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1988,19,"1988-04-19","1988-10-22",-40.21,176.109
"Dunedin (Otago)",1988,11,"1988-05-22","1988-08-20",-45.90129,170.5147
"Gisborne (Gisborne)",1988,2,"1988-08-26","1988-08-27",-38.6586,177.9851
"Gore (Southland)",1988,32,"1988-04-30","1988-09-08",-46.115,168.887
"Hamilton (Waikato)",1988,12,"1988-05-01","1988-08-26",-37.86088,175.33175
"Hokitika (West Coast)",1988,11,"1988-05-21","1988-08-26",-42.71228,170.98428
"Invercargill (Southland)",1988,30,"1988-04-30","1988-09-03",-46.41741,168.33052
"Kerikeri (Northland)",1988,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1988,78,"1988-03-30","1988-11-07",-44.002,170.441
"Masterton (Wellington)",1988,20,"1988-05-01","1988-10-22",-40.957,175.707
"Milford Sound (Southland)",1988,37,"1988-05-01","1988-08-27",-44.67384,167.92406
"Napier (Hawke's Bay)",1988,8,"1988-06-06","1988-08-27",-39.49846,176.91189
"Nelson (Nelson)",1988,15,"1988-05-24","1988-09-09",-41.299,173.226
"New Plymouth (Taranaki)",1988,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1988,71,"1988-03-30","1988-09-14",-45.01758,168.74005
"Reefton (West Coast)",1988,29,"1988-04-12","1988-09-09",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1988,15,"1988-05-01","1988-08-28",-38.10595,176.31485
"Tara Hills (Canterbury)",1988,104,"1988-03-24","1988-11-07",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1988,34,"1988-04-11","1988-10-22",-38.88784,175.25981
"Taupō (Waikato)",1988,30,"1988-04-11","1988-11-13",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1988,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1988,54,"1988-04-11","1988-09-09",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1988,46,"1988-03-20","1988-11-13",-39.46249,175.66283
"Wellington (Wellington)",1988,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1988,1,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",1988,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1988,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1987,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1987,20,"1987-05-02","1987-10-16",-41.52133,173.86439
"Christchurch (Canterbury)",1987,31,"1987-04-11","1987-10-16",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1987,16,"1987-05-08","1987-09-06",-40.21,176.109
"Dunedin (Otago)",1987,3,"1987-06-23","1987-07-27",-45.90129,170.5147
"Gisborne (Gisborne)",1987,3,"1987-05-04","1987-07-11",-38.6586,177.9851
"Gore (Southland)",1987,20,"1987-04-17","1987-09-08",-46.115,168.887
"Hamilton (Waikato)",1987,10,"1987-05-03","1987-08-16",-37.86088,175.33175
"Hokitika (West Coast)",1987,5,"1987-06-16","1987-07-27",-42.71228,170.98428
"Invercargill (Southland)",1987,20,"1987-04-17","1987-08-15",-46.41741,168.33052
"Kerikeri (Northland)",1987,0,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1987,76,"1987-03-26","1987-11-17",-44.002,170.441
"Masterton (Wellington)",1987,12,"1987-06-17","1987-08-15",-40.957,175.707
"Milford Sound (Southland)",1987,23,"1987-05-04","1987-08-01",-44.67384,167.92406
"Napier (Hawke's Bay)",1987,9,"1987-06-17","1987-08-17",-39.49846,176.91189
"Nelson (Nelson)",1987,6,"1987-06-18","1987-07-07",-41.299,173.226
"New Plymouth (Taranaki)",1987,0,NA,NA,-39.0079,174.18382
"Queenstown (Otago)",1987,50,"1987-04-17","1987-10-14",-45.01758,168.74005
"Reefton (West Coast)",1987,25,"1987-05-02","1987-10-16",-42.11578,171.86014
"Rotorua (Bay of Plenty)",1987,16,"1987-05-04","1987-08-17",-38.10595,176.31485
"Tara Hills (Canterbury)",1987,80,"1987-03-26","1987-11-18",-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)",1987,38,"1987-04-18","1987-09-06",-38.88784,175.25981
"Taupō (Waikato)",1987,37.00892857142857,"1987-02-09","1987-10-17",-38.74263,176.08104
"Tauranga (Bay of Plenty)",1987,0,NA,NA,-37.673,176.196
"Timaru (Canterbury)",1987,29,"1987-05-13","1987-10-01",-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)",1987,53.00892857142857,"1987-02-09","1987-10-17",-39.46249,175.66283
"Wellington (Wellington)",1987,0,NA,NA,-41.285,174.768
"Whanganui (Manawatū-Whanganui)",1987,0,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)",1987,0,NA,NA,-36.606,174.835
"Whangārei (Northland)",1987,0,NA,NA,-35.769,174.364
"Auckland (Auckland)",1986,0,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)",1986,36,"1986-05-28","1986-09-24",-41.52133,173.86439
"Christchurch (Canterbury)",1986,59,"1986-05-05","1986-09-23",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)",1986,21,"1986-05-24","1986-09-10",-40.21,176.109
"Dunedin (Otago)",1986,7,"1986-06-18","1986-08-27",-45.90129,170.5147
"Gisborne (Gisborne)",1986,5,"1986-06-20","1986-08-27",-38.6586,177.9851
"Gore (Southland)",1986,35,"1986-05-20","1986-09-16",-46.115,168.887
"Hamilton (Waikato)",1986,19,"1986-05-24","1986-08-18",-37.86088,175.33175
"Hokitika (West Coast)",1986,14,"1986-06-16","1986-08-26",-42.71228,170.98428
"Invercargill (Southland)",1986,28,"1986-05-20","1986-09-21",-46.41741,168.33052
"Kerikeri (Northland)",1986,1,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)",1986,100,"1986-05-05","1986-11-30",-44.002,170.441
"Masterton (Wellington)",1986,23,"1986-06-03","1986-09-10",-40.957,175.707
"Milford Sound (Southland)",1986,37,"1986-05-23","1986-09-10",-44.67384,167.92406
"Napier (Hawke's Bay)",1986,14,"1986-06-15","1986-09-01",-39.49846,176.91189
"Nelson (Nelson)",1986,17,"1986-05-28","1986-08-03",-41.299,173.226
"New Plymouth (Taranaki)",1986,1,NA,NA,-39.0079,174.18382
