"site","season","trend_likelihood","period_start","period_end","p_value","slope","conf_low","conf_high","conf_level","intercept","r_squared","sigma","trend_method","n","note","s","var_s","tau","z","alternative","lat","lon"
"Gore (Southland)","Winter",NA,"1960-06-01","2022-08-31",0.5327529282534162,0.22657930107526955,-0.367464128937144,0.8206227310876831,0.9,184.43993855606752,0.006411142977860895,52.12624293076564,"Linear model",63,NA,NA,NA,NA,NA,NA,-46.115,168.887
"Hamilton (Waikato)","Winter",NA,"1960-06-01","2022-08-31",0.747697827718542,0.20585157450076888,-0.8419931168742781,1.253696265875816,0.9,372.54925755248337,0.0017088205719440661,91.94648770913513,"Linear model",63,NA,NA,NA,NA,NA,NA,-37.86088,175.33175
"Hokitika (West Coast)","Winter",NA,"1960-06-01","2022-08-31",0.015152435950583524,2.406379608294935,0.8226577271708364,3.990101489419034,0.9,635.50855094726,0.09288730580222446,138.96874763604208,"Linear model",63,NA,NA,NA,NA,NA,NA,-42.71228,170.98428
"Invercargill (Southland)","Winter",NA,"1960-06-01","2022-08-31",0.17362532422914606,0.5435531874039946,-0.1058552099299237,1.192961584737913,0.9,237.61740911418323,0.030135879133062586,56.98441927048942,"Linear model",63,NA,NA,NA,NA,NA,NA,-46.41741,168.33052
"Kerikeri (Northland)","Winter",NA,"1960-06-01","2022-08-31",0.4982437704662035,0.7656105990783424,-1.0827225494669623,2.6139437476236473,0.9,542.9449052739374,0.0075524457438941595,162.1879105977928,"Linear model",63,NA,NA,NA,NA,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)","Winter",NA,"1960-06-01","2022-08-31",0.9343712531768795,-0.03614631336405461,-0.7551889612550549,0.6828963345269456,0.9,170.42017409114175,1.1207138070233467e-4,63.09469955885891,"Linear model",63,NA,NA,NA,NA,NA,NA,-44.002,170.441
"Masterton (Wellington)","Winter",NA,"1960-06-01","2022-08-31",0.2443280212023276,0.6327812980030724,-0.2525914559009974,1.5181540519071421,0.9,250.1684587813619,0.0221538979767526,77.68986731040881,"Linear model",63,NA,NA,NA,NA,NA,NA,-40.957,175.707
"Milford Sound (Southland)","Winter",NA,"1960-06-01","2022-08-31",0.0017938801331551888,6.446562980030719,3.1995512796408554,9.693574680420582,0.9,1004.2814132104457,0.1488122829034352,284.9194387858538,"Linear model",63,NA,NA,NA,NA,NA,NA,-44.67384,167.92406
"Napier (Hawke's Bay)","Winter",NA,"1960-06-01","2022-08-31",0.6316674213431706,-0.28827284946236403,-1.272415760422519,0.6958700614977908,0.9,241.78504864311304,0.003791108701814232,86.35677100953362,"Linear model",63,NA,NA,NA,NA,NA,NA,-39.49846,176.91189
"Nelson (Nelson)","Winter",NA,"1960-06-01","2022-08-31",0.15780461760090994,0.9178715437788015,-0.13786999302484737,1.9736130805824503,0.9,226.84874551971328,0.032437855979947396,92.63942169746223,"Linear model",63,NA,NA,NA,NA,NA,NA,-41.299,173.226
