Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C),,,,,,
20100227,9.2,9,97,8.8,,,,,,
20100228,13.3,12.1,86,11,,,,,,
20100301,14,12.8,86,11.7,,,,,,
20100302,11.5,10.5,87,9.4,,,,,,
20100303,11.8,11.2,93,10.7,,,,,,
20100304,11.8,10.7,86,9.5,,,,,,
20100305,10.2,9.3,88,8.3,,,,,,
20100306,10.8,10.3,94,9.9,,,,,,
20100307,11.9,11.1,90,10.3,,,,,,
20100308,12.6,11.8,90,11,,,,,,
20100309,14.8,14,91,13.4,,,,,,
20100310,15.8,14.7,88,13.8,,,,,,
20100311,15.8,15.2,93,14.7,,,,,,
20100312,11.8,10.7,86,9.5,,,,,,
20100313,6.9,6.4,93,5.9,,,,,,
20100314,10.1,9.6,93,9,,,,,,
20100315,12.1,11.4,91,10.7,,,,,,
20100316,9.8,9.1,91,8.4,,,,,,
20100317,11.8,10,78,8.1,,,,,,
20100318,4.1,3.8,94,3.2,,,,,,
20100319,10.8,10.6,97,10.4,,,,,,
20100320,9.9,9.5,94,9,,,,,,
20100321,14,13.7,97,13.5,,,,,,
20100322,16.3,14.5,81,13,,,,,,
20100323,11.9,11.7,97,11.4,,,,,,
20100324,11.8,11.1,91,10.4,,,,,,
20100325,7.8,7.6,97,7.4,,,,,,
20100326,11.7,11.4,96,11.1,,,,,,
20100327,12.8,12.6,97,12.3,,,,,,
20100328,14.6,13.1,83,11.8,,,,,,
20100329,8,7.7,95,7.3,,,,,,
20100330,12.8,12.4,95,12,,,,,,
20100331,13.2,12.9,96,12.6,,,,,,
20100401,12.4,12.1,96,11.8,,,,,,
20100402,11.9,11.6,96,11.3,,,,,,
20100403,11.6,11.4,97,11.1,,,,,,
20100404,15.4,12.9,74,10.8,,,,,,
20100405,11.2,9.6,80,7.9,,,,,,
20100406,11.6,10.5,86,9.3,,,,,,
20100407,9.4,7.7,77,5.6,,,,,,
20100408,6.2,5,82,3.4,,,,,,
20100409,7.6,6.5,84,5.1,,,,,,
20100410,5,4.8,97,4.6,,,,,,
20100411,5.9,5.7,97,5.5,,,,,,
20100412,9.3,8.9,95,8.5,,,,,,
20100413,12.7,11.2,82,9.7,,,,,,
20100414,13.6,13.3,96,13,,,,,,
20100415,12.6,12.3,96,12,,,,,,
20100416,8.3,7.7,91,6.9,,,,,,
20100417,9.6,9,92,8.4,,,,,,
20100418,11.2,10.9,96,10.6,,,,,,
20100419,10.2,9.9,96,9.6,,,,,,
20100420,10.2,9.6,92,9,,,,,,
20100421,11.1,10.6,94,10.2,,,,,,
20100422,8,7.7,95,7.3,,,,,,
20100423,9.4,9,94,8.5,,,,,,
20100424,12.2,11.9,96,11.6,,,,,,
20100425,15.4,15.1,97,14.9,,,,,,
20100426,16.3,14.2,78,12.5,,,,,,
20100427,14.7,14.4,96,14.1,,,,,,
20100428,11.2,10.9,96,10.6,,,,,,
20100429,11.2,11,97,10.8,,,,,,
20100430,14.4,13.2,86,12.1,,,,,,
20100501,8.5,8.3,97,8.1,,,,,,
20100502,4.2,4,97,3.8,,,,,,
20100503,8.9,8.5,94,8,,,,,,
20100504,6.8,6.6,97,6.4,,,,,,
20100505,2.9,2.7,97,2.5,,,,,,
20100506,6.1,5.9,97,5.7,,,,,,
20100507,10.5,9.9,92,9.3,,,,,,
20100508,14.6,13.4,87,12.5,,,,,,
20100509,9.8,9.5,96,9.2,,,,,,
20100510,6.6,6.1,93,5.6,,,,,,
20100511,5.3,5.1,96,4.7,,,,,,
20100512,7.2,6.7,93,6.2,,,,,,
20100513,15.1,14,88,13.1,,,,,,
20100514,11.6,11.4,97,11.1,,,,,,
20100515,8.3,8,96,7.7,,,,,,
20100516,10,9.6,95,9.2,,,,,,
20100517,8.8,8.6,97,8.4,,,,,,
20100518,5,4.9,98,4.7,,,,,,
20100519,6.4,6.1,96,5.8,,,,,,
20100520,7.6,7.5,98,7.3,,,,,,
20100521,1.6,1.5,97,1.2,,,,,,
20100522,0.7,0.6,97,0.3,,,,,,
20100523,5.7,5.6,98,5.4,,,,,,
20100524,9,8.6,95,8.3,,,,,,
20100525,8,7.8,97,7.6,,,,,,
20100526,7.6,7.5,98,7.3,,,,,,
20100527,8.2,5.2,59,0.7,,,,,,
20100528,4.4,4,94,3.5,,,,,,
20100529,5.6,5.3,95,4.9,,,,,,
20100530,0,-0.2,97,-0.4,,,,,,
20100531,-0.6,-0.7,97,-1,,,,,,
20100601,1.7,1.6,98,1.4,,,,,,
20100602,5,4.8,96,4.4,,,,,,
20100603,5.3,5.1,97,4.9,,,,,,
20100604,1.9,1.7,97,1.5,,,,,,
20100605,2,1.9,98,1.7,,,,,,
20100606,6.5,6.3,97,6.1,,,,,,
20100607,11.6,11.4,98,11.3,,,,,,
20100608,1.4,0.9,91,0.1,,,,,,
20100609,-2.6,-2.7,96,-3.1,,,,,,
20100610,2.2,2,97,1.8,,,,,,
20100611,7.5,7.2,96,6.9,,,,,,
20100612,8.1,7.9,97,7.7,,,,,,
20100613,3.9,3.7,97,3.5,,,,,,
20100614,3.6,3.4,97,3.2,,,,,,
20100615,-0.5,-0.6,97,-0.9,,,,,,
20100616,-0.5,-0.6,98,-0.8,,,,,,
20100617,3.9,3.8,98,3.6,,,,,,
20100618,4.5,4.4,98,4.2,,,,,,
20100619,13.7,12.7,89,11.9,,,,,,
20100620,9.7,9.5,97,9.3,,,,,,
20100621,8.1,7.8,96,7.5,,,,,,
20100622,5.3,5.1,97,4.9,,,,,,
20100623,5,4.1,86,2.9,,,,,,
20100624,3.2,2.9,95,2.5,,,,,,
20100625,1.5,1.4,97,1.1,,,,,,
20100626,6,4.4,76,2.1,,,,,,
20100627,4.9,4.2,89,3.3,,,,,,
20100628,3.1,2.9,97,2.7,,,,,,
20100629,5.5,5.3,97,5.1,,,,,,
20100630,6.2,6.1,98,5.9,,,,,,
20100701,2,1.5,90,0.6,,,,,,
20100702,3.7,3.5,97,3.3,,,,,,
20100703,5.7,5.5,97,5.3,,,,,,
20100704,2.7,2.5,97,2.3,,,,,,
20100705,-0.7,-0.8,98,-1,,,,,,
20100706,-1.3,-1.4,97,-1.7,,,,,,
20100707,-1,-1.1,97,-1.4,,,,,,
20100708,-3.8,-3.9,95,-4.4,,,,,,
20100709,0.6,-0.2,86,-1.4,,,,,,
20100710,-4.6,-4.7,93,-5.5,,,,,,
20100711,-4.6,-4.7,94,-5.3,,,,,,
20100712,-3.4,-3.5,95,-4,,,,,,
20100713,0.5,0.4,97,0.1,,,,,,
20100714,0.1,-0.1,97,-0.3,,,,,,
20100715,-2.5,-2.5,97,-2.9,,,,,,
20100716,-2.2,-2.3,96,-2.7,,,,,,
20100717,1.7,1.5,97,1.3,,,,,,
20100718,-0.1,-0.2,97,-0.5,,,,,,
20100719,5.9,5.7,97,5.5,,,,,,
20100720,5.6,5.5,98,5.3,,,,,,
20100721,8.2,7.9,96,7.6,,,,,,
20100722,7.4,7.2,97,7,,,,,,
20100723,7.1,6.6,92,5.9,,,,,,
20100724,-0.5,-0.7,96,-1,,,,,,
20100725,2.5,2.3,97,2.1,,,,,,
20100726,6.4,6.2,97,6,,,,,,
20100727,6.3,6.2,98,6,,,,,,
20100728,5.5,5.3,97,5.1,,,,,,
20100729,5.4,5.2,97,5,,,,,,
20100730,1.8,1.5,94,0.9,,,,,,
20100731,5.2,4.7,92,4,,,,,,
20100801,10.3,9.5,90,8.7,,,,,,
20100802,8.6,8.4,97,8.2,,,,,,
20100803,4.3,4,95,3.6,,,,,,
20100804,6.1,5.9,97,5.7,,,,,,
20100805,2.9,2.7,96,2.3,,,,,,
20100806,4.1,4,98,3.8,,,,,,
20100807,8.2,8,97,7.8,,,,,,
20100808,5.4,5.2,96,4.8,,,,,,
