Station,Date(NZST),Percent(%),Depth(cm)
3925,20190119:1800,33.5,20
3925,20190119:1900,33.3,20
3925,20190119:2000,33.5,20
3925,20190119:2100,34.2,20
3925,20190119:2200,34.8,20
3925,20190119:2300,34.8,20
3925,20190120:0000,35,20
3925,20190120:0100,34.8,20
3925,20190120:0200,35.1,20
3925,20190120:0300,34.9,20
3925,20190120:0400,34.9,20
3925,20190120:0500,35,20
3925,20190120:0600,35,20
3925,20190120:0700,35,20
3925,20190120:0800,35,20
3925,20190120:0900,35,20
3925,20190120:1000,35.1,20
3925,20190120:1100,35.1,20
3925,20190120:1200,35.1,20
3925,20190120:1300,35,20
3925,20190120:1400,35,20
3925,20190120:1500,34.9,20
3925,20190120:1600,34.9,20
3925,20190120:1700,35,20
3925,20190120:1800,35,20
3925,20190120:1900,34.9,20
3925,20190120:2000,34.9,20
3925,20190120:2100,34.9,20
3925,20190120:2200,34.8,20
3925,20190120:2300,34.9,20
3925,20190121:0000,34.7,20
3925,20190121:0100,34.9,20
3925,20190121:0200,34.8,20
3925,20190121:0300,34.9,20
3925,20190121:0400,35.1,20
3925,20190121:0500,35.4,20
3925,20190121:0600,35.8,20
3925,20190121:0700,36.2,20
3925,20190121:0800,36.5,20
3925,20190121:0900,36.6,20
3925,20190121:1000,36.7,20
3925,20190121:1100,36.9,20
3925,20190121:1200,37,20
3925,20190121:1300,36.9,20
3925,20190121:1400,36.8,20
3925,20190121:1500,36.9,20
3925,20190121:1600,36.9,20
3925,20190121:1700,36.9,20
3925,20190121:1800,36.9,20
3925,20190121:1900,36.8,20
3925,20190121:2000,36.9,20
3925,20190121:2100,36.7,20
3925,20190121:2200,36.7,20
3925,20190121:2300,36.8,20
3925,20190122:0000,36.7,20
3925,20190122:0100,36.7,20
3925,20190122:0200,36.6,20
3925,20190122:0300,36.4,20
3925,20190122:0400,36.5,20
3925,20190122:0500,36.4,20
3925,20190122:0600,36.5,20
3925,20190122:0700,36.6,20
3925,20190122:0800,36.5,20
3925,20190122:0900,36.5,20
3925,20190122:1000,36.5,20
3925,20190122:1100,36.5,20
3925,20190122:1200,36.3,20
3925,20190122:1300,36.3,20
3925,20190122:1400,36.4,20
3925,20190122:1500,36.4,20
3925,20190122:1600,36.3,20
3925,20190122:1700,36.3,20
3925,20190122:1800,36.1,20
3925,20190122:1900,36.2,20
3925,20190122:2000,36.2,20
3925,20190122:2100,36.2,20
3925,20190122:2200,36,20
3925,20190122:2300,36.2,20
3925,20190123:0000,36,20
3925,20190123:0100,36.1,20
3925,20190123:0200,36.1,20
3925,20190123:0300,36.1,20
3925,20190123:0400,36.1,20
3925,20190123:0500,36.2,20
3925,20190123:0600,35.9,20
3925,20190123:0700,36,20
3925,20190123:0800,36,20
3925,20190123:0900,36.2,20
3925,20190123:1000,36.1,20
3925,20190123:1100,36,20
3925,20190123:1200,36.1,20
3925,20190123:1300,35.9,20
3925,20190123:1400,36,20
3925,20190123:1500,36,20
3925,20190123:1600,36,20
3925,20190123:1700,36,20
3925,20190123:1800,36.1,20
3925,20190123:1900,44.6,20
3925,20190123:2000,46.7,20
3925,20190123:2100,44.9,20
3925,20190123:2200,43.9,20
3925,20190123:2300,43.3,20
3925,20190124:0000,43,20
3925,20190124:0100,42.5,20
3925,20190124:0200,42.2,20
3925,20190124:0300,42,20
3925,20190124:0400,41.8,20
3925,20190124:0500,41.5,20
3925,20190124:0600,41.4,20
3925,20190124:0700,41.3,20
3925,20190124:0800,41.2,20
3925,20190124:0900,40.9,20
3925,20190124:1000,40.9,20
3925,20190124:1100,40.8,20
3925,20190124:1200,40.5,20
3925,20190124:1300,40.4,20
