Station,Date(NZST),Dir(DegT),Speed(m/s),Period(Hrs),Freq
3925,20101011:2259,166,13.9,24,D
3925,20101012:2259,149,8.8,24,D
3925,20101013:2259,196,6.7,24,D
3925,20101014:2259,251,6.7,24,D
3925,20101015:2259,212,7.2,24,D
3925,20101016:2259,13,9.3,24,D
3925,20101017:2259,37,12.4,24,D
3925,20101018:2259,3,8.2,24,D
3925,20101019:2259,16,9.8,24,D
3925,20101020:2259,287,10.8,24,D
3925,20101021:2259,174,8.2,24,D
3925,20101022:2259,204,7.2,24,D
3925,20101023:2259,246,6.2,24,D
3925,20101024:2259,7,7.2,24,D
3925,20101025:2259,271,5.1,24,D
3925,20101026:2259,121,5.7,24,D
3925,20101027:2259,8,7.7,24,D
3925,20101028:2259,336,6.7,24,D
3925,20101029:2259,140,6.2,24,D
3925,20101030:2259,207,8.8,24,D
3925,20101031:2259,284,9.3,24,D
3925,20101101:2259,272,7.2,24,D
3925,20101102:2259,348,8.2,24,D
3925,20101103:2259,320,8.2,24,D
3925,20101104:2259,39,9.3,24,D
3925,20101105:2259,225,8.2,24,D
3925,20101106:2259,287,7.7,24,D
3925,20101107:2259,296,6.2,24,D
3925,20101108:2259,330,4.6,24,D
3925,20101109:2259,246,8.2,24,D
3925,20101110:2259,198,8.2,24,D
3925,20101111:2259,204,9.8,24,D
3925,20101112:2259,174,8.8,24,D
3925,20101113:2259,188,8.2,24,D
3925,20101114:2259,15,7.7,24,D
3925,20101115:2259,348,7.7,24,D
3925,20101116:2259,214,6.2,24,D
3925,20101117:2259,227,6.7,24,D
3925,20101118:2259,353,6.7,24,D
3925,20101119:2259,160,6.7,24,D
3925,20101120:2259,178,6.2,24,D
3925,20101121:2259,211,8.2,24,D
