Station,Date(NZST),Percent(%),Depth(cm)
3925,20090130:1400,46.5,20
3925,20090130:1500,46.5,20
3925,20090130:1600,46.5,20
3925,20090130:1700,46.5,20
3925,20090130:1800,46.5,20
3925,20090130:1900,46.6,20
3925,20090130:2000,46.6,20
3925,20090130:2100,46.5,20
3925,20090130:2200,46.5,20
3925,20090130:2300,46.5,20
3925,20090131:0000,46.5,20
3925,20090131:0100,46.9,20
3925,20090131:0200,46.8,20
3925,20090131:0300,46.6,20
3925,20090131:0400,46.7,20
3925,20090131:0500,46.7,20
3925,20090131:0600,46.7,20
3925,20090131:0700,46.8,20
3925,20090131:0800,46.9,20
3925,20090131:0900,46.8,20
3925,20090131:1000,46.7,20
3925,20090131:1100,46.7,20
3925,20090131:1200,46.8,20
3925,20090131:1300,46.6,20
3925,20090131:1400,46.5,20
3925,20090131:1500,46.7,20
3925,20090131:1600,46.4,20
3925,20090131:1700,46.4,20
3925,20090131:1800,46.6,20
3925,20090131:1900,46.6,20
3925,20090131:2000,46.5,20
3925,20090131:2100,46.5,20
3925,20090131:2200,46.5,20
3925,20090131:2300,46.2,20
3925,20090201:0000,46.2,20
3925,20090201:0100,46.4,20
3925,20090201:0200,46.6,20
3925,20090201:0300,46.4,20
3925,20090201:0400,46.4,20
3925,20090201:0500,46.4,20
3925,20090201:0600,46.4,20
3925,20090201:0700,46.4,20
3925,20090201:0800,46.4,20
3925,20090201:0900,46.4,20
3925,20090201:1000,46.4,20
3925,20090201:1100,46.4,20
3925,20090201:1200,46.5,20
3925,20090201:1300,46.3,20
3925,20090201:1400,46.5,20
3925,20090201:1500,46.4,20
3925,20090201:1600,46.4,20
3925,20090201:1700,46.4,20
3925,20090201:1800,46.4,20
3925,20090201:1900,46.2,20
3925,20090201:2000,46.3,20
3925,20090201:2100,46.3,20
3925,20090201:2200,46.4,20
3925,20090201:2300,46.4,20
3925,20090202:0000,46.3,20
3925,20090202:0100,46.4,20
3925,20090202:0200,46.3,20
3925,20090202:0300,46.4,20
3925,20090202:0400,46.4,20
3925,20090202:0500,46.4,20
3925,20090202:0600,46.4,20
3925,20090202:0700,46.4,20
3925,20090202:0800,46.4,20
3925,20090202:0900,46.4,20
3925,20090202:1000,46.4,20
3925,20090202:1100,46.4,20
3925,20090202:1200,46.3,20
3925,20090202:1300,46.1,20
3925,20090202:1400,45.9,20
3925,20090202:1500,45.9,20
3925,20090202:1600,45.8,20
3925,20090202:1700,45.7,20
3925,20090202:1800,45.6,20
3925,20090202:1900,45.6,20
3925,20090202:2000,45.6,20
3925,20090202:2100,45.6,20
3925,20090202:2200,45.6,20
3925,20090202:2300,45.6,20
3925,20090203:0000,45.6,20
3925,20090203:0100,45.6,20
3925,20090203:0200,45.6,20
3925,20090203:0300,45.6,20
3925,20090203:0400,45.6,20
3925,20090203:0500,45.8,20
3925,20090203:0600,45.6,20
3925,20090203:0700,45.8,20
3925,20090203:0800,45.8,20
3925,20090203:0900,45.7,20
3925,20090203:1000,45.8,20
3925,20090203:1100,45.7,20
3925,20090203:1200,45.8,20
3925,20090203:1300,45.8,20
3925,20090203:1400,45.6,20
3925,20090203:1500,45.6,20
3925,20090203:1600,45.4,20
3925,20090203:1700,45.5,20
3925,20090203:1800,45.4,20
3925,20090203:1900,45.3,20
3925,20090203:2000,45.3,20
3925,20090203:2100,45.3,20
3925,20090203:2200,45.3,20
3925,20090203:2300,45.3,20
3925,20090204:0000,45.4,20
3925,20090204:0100,45.4,20
3925,20090204:0200,45.5,20
3925,20090204:0300,45.3,20
3925,20090204:0400,45.4,20
3925,20090204:0500,45.4,20
3925,20090204:0600,45.5,20
3925,20090204:0700,45.5,20
3925,20090204:0800,45.8,20
3925,20090204:0900,45.8,20
3925,20090204:1000,45.5,20
3925,20090204:1100,45.8,20
3925,20090204:1200,45.6,20
3925,20090204:1300,45.6,20
3925,20090204:1400,45.6,20
3925,20090204:1500,45.7,20
3925,20090204:1600,45.9,20
3925,20090204:1700,45.6,20
3925,20090204:1800,45.7,20
3925,20090204:1900,46,20
3925,20090204:2000,45.6,20
3925,20090204:2100,45.8,20
3925,20090204:2200,45.9,20
3925,20090204:2300,45.9,20
3925,20090205:0000,45.9,20
3925,20090205:0100,45.9,20
3925,20090205:0200,45.8,20
3925,20090205:0300,45.7,20
3925,20090205:0400,45.8,20
3925,20090205:0500,45.7,20
3925,20090205:0600,45.8,20
3925,20090205:0700,45.8,20
3925,20090205:0800,45.8,20
